Наименование товара;Средний рейтинг;Остаток на складе;Продажи;В избранном
Сетчатая лопатка для удаления кошачьего наполнителя, принадлежности для уборки кошачьих экскрементов, большая лопатка для кошачьего наполнителя, тофу-наполнитель, кошачий лоток для кошачьего наполнителя;5,0;9993;5;0
Перезаряжаемая миниатюрная кнопка для общения с домашними животными: для кошек и собак, для записи разговоров, дрессировки, звонка.;5,0;1986;28;64
Охлаждающий коврик для собак, летняя подушка для щенков, мягкий нескользящий коврик для сна домашних животных, аксессуары для питомцев.;4,5;529;20;38
Автоматическая кормушка для домашних животных с активной RFID-технологией предотвращает кражу корма. Идеально подходит для диетического питания. Позволяет планировать приемы пищи.;4,7;10;0;1
Сменные плюшевые аксессуары для кошачьих игрушек: сменные головки для кошек, забавные палочки для кошек, игрушки для домашних животных, 5/10/6/11 шт.;4,9;102222;1000;418
Колокольчик для ключей в виде питомца, милый, разноцветный, 22 мм, рождественское украшение, очаровательный брелок, аксессуары для ключей, конфетные цвета, разноцветные колокольчики.;4,6;28;46;25
Супермягкая моющаяся лежанка для собак, подходящая для всех сезонов, универсальная, для глубокого сна, бархатный коврик, диван, лежанка для кошек, корзина для собак.;4,7;240;0;1
Плюшевые игрушки-динозавры для кошек и собак, интерактивные игрушки для жевания, мягкие игрушки для животных, игрушки для маленьких собак.;5,0;78;98;85
Игрушки для собак: летающий диск для дрессировки домашних животных, кольцо-дергатель, интерактивные плавающие игрушки против укусов, игрушки для собак, предотвращающие агрессивное жевание.;4,8;1903;1000;572
Паровая щетка-распылитель 3 в 1 для собак, электрический распылитель, щетка-расческа для кошек, массажер, средство для ухода за шерстью домашних животных, удаление спутанных и выпавших волос.;4,7;912;2000;1187
Нескользящий коврик для кошачьего туалета в подарок, водонепроницаемый двухслойный коврик для кошачьего туалета, коврик для кошачьего туалета с песком, подстилка для кошек, аксессуары для кошек.;4,8;275;445;901
Складная силиконовая миска для собак, дорожная миска для корма и воды для домашних животных, без бисфенола-А, складная чашка-миска с карабином.;4,9;69902;129;146
Набор чернил для создания отпечатков лап домашних животных (собак и кошек). Безопасный, нетоксичный, не пачкает руки и ноги. Легко моется. Сувенир для домашних животных.;4,7;918;500;411
Персонализированный ошейник с идентификационной биркой для питомца, с бесплатной гравировкой имени кошки, собаки или щенка, подвеска в виде золотой лапки с блестками, аксессуары для домашних животных, 3 см.;4,6;7883;69;93
Электрическая игрушка для кошек в виде рыбки, игрушки для домашних кошек, имитация рыбки-качелей, танцующая рыбка для котят, забавная игрушка-рыбка для кошек, принадлежности для жевания и игр, зарядка через USB.;4,7;244;2000;1694
Двусторонняя щетка для груминга из нержавеющей стали для собак и кошек, предназначенная для удаления линьки и колтунов, а также подшерстка. Легко распутывает узлы и колтуны.;4,8;449;1000;2464
Многоразовая пеленка для собак, впитывающий подгузник, моющаяся пеленка для приучения щенков к туалету, лежанка для животных, коврик для мочеиспускания, чехол на автомобильное сиденье, товары для животных.;4,7;3415;1000;2350
Светящийся светодиодный ошейник для собак, перезаряжаемый, водонепроницаемый, регулируемый, с подсветкой, ошейник-ночник для собак, защитное ожерелье для питомца.;4,6;122354;251;275
Деревянный держатель для капсул, современный гамак-подставка для кошек, лежанка для питомцев.;4,7;2;1;3
Дверца-откидная с 4-позиционным замком для безопасности собак и кошек, а также для котят и щенков, защитная дверца для мелких домашних животных, товары из АБС-пластика.;4,7;593;1;0
Одноразовые пакеты для уборки собачьих экскрементов, диспенсер для пакетов в форме косточки с зажимом для поводка, товары для щенков, 5 рулонов (75 шт.) пакетов.;4,8;2976;164;39
Игрушки для кошек, чистящие зубы, жевательные палочки Silvervine, лакомства для домашних животных, натуральные палочки с кошачьей мятой для котят, игрушки для дразнения с кошачьей мятой.;4,8;582;1000;552
Перчатки для массажа ванны, щетка для щенков и больших собак/кошек, мягкие защитные силиконовые аксессуары для домашних животных (собак и кошек), инструменты Mascotas Products.;4,8;507;3000;2568
